,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age
278,2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,First,20.7,1496,113.98,5.0,42.48,34.0,1,0,1,0,7
281,2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,First,18.9,1197,81.86,5.0,8.1,5.89,0,1,0,1,8
283,2090,Maruti Celerio VXI AMT,Mumbai,2016,47691,First,23.1,998,67.04,5.0,6.08,3.94,0,1,1,0,8
285,2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,First,19.0,2996,362.07,2.0,1.06,83.96,0,1,1,0,5
288,2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,First,17.9,2143,201.15,5.0,78.76,56.73,1,0,1,0,7
290,2120,Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,First,18.6,1197,81.86,5.0,9.78,7.53,0,1,0,1,7
291,2127,Maruti Baleno Delta,Mumbai,2016,12573,First,21.4,1197,83.1,5.0,7.36,5.8,0,1,0,1,8
292,2134,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,First,12.9,2755,174.5,7.0,38.11,31.0,1,0,1,0,7
295,2157,Hyundai Creta 1.6 SX Option,Delhi,2016,24347,First,15.8,1591,121.3,5.0,16.06,11.0,0,1,0,1,8
296,2160,Honda City i-VTEC CVT VX,Mumbai,2017,17000,First,18.0,1497,117.3,5.0,15.29,11.6,0,1,1,0,7
298,2178,Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,2017,35000,First,18.0,2993,255.0,7.0,1.27,41.6,1,0,1,0,7
300,2185,Maruti Vitara Brezza ZDi Plus,Ahmedabad,2017,80000,First,24.3,1248,88.5,5.0,10.91,8.0,1,0,0,1,7
301,2187,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,First,12.95,1999,152.88,5.0,25.75,17.75,0,1,1,0,8
302,2195,Maruti Wagon R VXI,Kolkata,2016,16956,First,22.5,998,67.04,5.0,5.29,3.6,0,1,0,1,8
304,2220,Honda Brio 1.2 VX AT,Mumbai,2017,20000,First,16.5,1198,86.8,5.0,8.05,5.99,0,1,1,0,7
305,2224,Toyota Etios Cross 1.4L GD,Kochi,2016,36681,First,23.59,1364,67.06,5.0,8.82,6.71,1,0,0,1,8
306,2229,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,First,18.0,1497,117.3,5.0,17.38,14.21,0,1,1,0,6
307,2231,Maruti Celerio ZXI MT,Kochi,2017,21799,First,23.1,998,67.04,5.0,5.69,5.11,0,1,0,1,7
308,2233,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,First,11.36,2755,171.5,7.0,26.56,22.99,1,0,1,0,7
309,2239,Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,First,23.84,1199,84.0,5.0,5.61,3.6,0,1,0,1,8
312,2251,Honda City i-DTEC ZX,Hyderabad,2017,46000,First,25.6,1498,98.6,5.0,16.95,12.9,1,0,0,1,7
314,2275,Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,First,23.0,1498,98.96,5.0,11.47,8.45,1,0,0,1,7
316,2290,Maruti Swift VDI,Kochi,2016,62192,First,28.4,1248,74.0,5.0,7.88,5.22,1,0,0,1,8
317,2292,Maruti Ciaz Alpha,Kochi,2018,38394,First,21.56,1462,103.25,5.0,11.37,9.18,0,1,0,1,6
318,2309,Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,First,14.62,1999,149.92,5.0,21.77,13.9,0,1,1,0,8
320,2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,First,18.0,2987,258.0,5.0,92.5,78.8,1,0,1,0,5
323,2334,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Second,12.9,2755,174.5,7.0,34.45,22.5,1,0,1,0,8
324,2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,First,17.9,2143,136.0,5.0,41.94,28.9,1,0,1,0,6
327,2380,Skoda Rapid 1.6 MPI AT Ambition,Mumbai,2017,32000,First,14.84,1598,103.52,5.0,13.7,8.11,0,1,1,0,7
328,2387,Maruti Ertiga VDI,Delhi,2017,65000,First,25.47,1248,88.5,7.0,11.16,7.65,1,0,0,1,7
329,2397,Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,21460,First,17.0,1497,121.36,5.0,9.47,6.0,0,1,0,1,8
331,2410,Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,First,24.3,1248,88.5,5.0,11.47,9.0,1,0,0,1,7
332,2413,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,First,24.0,1186,73.97,5.0,8.17,5.92,1,0,0,1,7
333,2414,Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,First,20.14,1498,88.0,5.0,9.58,6.29,1,0,0,1,8
339,2446,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,First,17.9,2143,170.0,5.0,64.14,45.0,1,0,1,0,7
342,2454,Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,First,15.8,1591,121.3,5.0,16.36,10.25,0,1,0,1,8
343,2455,Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,First,12.9,2755,174.5,7.0,37.38,30.0,1,0,1,0,7
344,2459,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,30000,First,23.0,1498,98.96,5.0,11.89,8.99,1,0,0,1,7
345,2464,Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Second,17.57,1193,88.7,5.0,6.62,4.5,0,1,0,1,7
346,2485,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,45362,First,24.3,1248,88.5,5.0,11.75,9.38,1,0,0,1,7
347,2488,Tata Hexa XTA,Coimbatore,2019,14233,First,17.6,2179,153.86,7.0,22.74,17.85,1,0,1,0,5
349,2496,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25500,First,21.5,1498,108.5,5.0,15.86,8.95,1,0,1,0,8
350,2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,First,16.1,1950,194.0,5.0,70.55,56.5,1,0,1,0,6
352,2528,Land Rover Discovery SE 3.0 TD6,Delhi,2016,59000,First,18.0,2993,255.0,7.0,1.13,36.75,1,0,1,0,8
353,2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,First,17.9,2143,136.0,5.0,45.36,27.87,1,0,1,0,7
354,2534,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,First,24.3,1248,88.5,5.0,10.13,8.75,1,0,0,1,6
355,2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,First,21.13,1498,108.4,5.0,14.22,11.92,1,0,0,1,6
356,2545,Mahindra NuvoSport N8,Coimbatore,2017,37712,First,17.45,1493,100.0,7.0,11.77,7.57,1,0,0,1,7
357,2558,Datsun redi-GO T Option,Kochi,2018,30953,First,22.7,799,53.64,5.0,4.05,3.48,0,1,0,1,6
358,2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,First,16.3,1956,170.0,5.0,26.95,21.69,1,0,0,1,6
359,2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,First,11.36,2755,171.5,7.0,28.05,20.14,1,0,1,0,7
360,2589,Maruti Wagon R VXI AMT,Mumbai,2016,8000,First,22.5,998,67.0,5.0,6.14,4.15,0,1,1,0,8
361,2592,Maruti Alto K10 VXI,Mumbai,2016,13198,First,24.07,998,67.1,5.0,4.82,3.15,0,1,0,1,8
362,2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,First,23.84,1199,83.83,5.0,7.17,6.97,0,1,1,0,5
363,2604,Mini Cooper Convertible S,Mumbai,2016,15000,First,16.82,1998,189.08,4.0,44.28,35.0,0,1,1,0,8
364,2607,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,First,22.0,1582,126.2,5.0,15.72,11.5,1,0,0,1,7
365,2622,Renault Duster 85PS Diesel RxE,Pune,2016,54000,First,19.87,1461,83.8,5.0,11.27,6.5,1,0,0,1,8
366,2648,Honda BRV i-VTEC V MT,Pune,2016,9200,First,15.4,1497,117.3,7.0,13.58,8.0,0,1,0,1,8
368,2665,Maruti Alto K10 VXI,Kochi,2018,46805,First,24.07,998,67.1,5.0,4.09,3.63,0,1,0,1,6
369,2667,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,First,17.57,1193,88.7,5.0,6.83,4.25,0,1,0,1,7
375,2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,First,24.3,1248,88.5,5.0,12.56,10.34,1,0,0,1,7
376,2709,Honda Amaze V Petrol,Kochi,2016,40866,First,19.5,1199,86.76,5.0,8.16,5.47,0,1,0,1,8
377,2711,Mini Cooper Convertible S,Kochi,2017,20469,First,16.82,1998,189.08,4.0,44.28,35.98,0,1,1,0,7
378,2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,First,21.66,1498,108.62,5.0,9.72,7.9,1,0,0,1,6
379,2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,First,21.4,1197,83.1,5.0,10.3,9.51,0,1,1,0,5
381,2745,Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,First,24.3,1248,88.5,5.0,11.12,9.13,1,0,0,1,7
384,2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,First,13.68,2393,147.8,8.0,24.01,17.92,1,0,0,1,7
385,2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,First,11.57,2987,254.79,5.0,95.13,59.29,1,0,1,0,6
386,2770,Maruti Baleno Alpha,Mumbai,2016,12208,First,21.4,1197,83.1,5.0,8.78,6.75,0,1,0,1,8
387,2774,Volkswagen Polo GT TSI,Mumbai,2017,27853,First,17.21,1197,103.5,5.0,11.26,8.25,0,1,1,0,7
388,2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,First,18.9,1197,81.86,5.0,6.68,6.07,0,1,0,1,6
389,2801,Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,First,22.5,999,67.0,5.0,5.42,4.28,0,1,1,0,7
390,2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,First,11.57,2987,254.79,5.0,91.23,64.95,1,0,1,0,7
391,2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,First,18.9,1197,81.86,5.0,7.14,5.55,0,1,0,1,6
393,2851,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,First,21.7,999,67.0,5.0,4.61,4.5,0,1,0,1,6
394,2853,Volkswagen Polo GT TSI,Mumbai,2017,25000,First,17.21,1197,103.5,5.0,11.26,7.75,0,1,1,0,7
395,2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,First,12.9,2755,174.5,7.0,37.38,33.13,1,0,1,0,5
396,2859,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,First,21.7,999,67.0,5.0,5.3,4.8,0,1,0,1,6
397,2860,Tata Bolt Quadrajet XM,Hyderabad,2017,98500,First,22.95,1248,74.0,5.0,7.97,6.0,1,0,0,1,7
400,2878,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,First,21.5,1498,108.5,5.0,15.86,9.6,1,0,1,0,7
402,2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,First,14.8,1497,121.36,5.0,14.1,10.44,0,1,1,0,6
403,2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,First,21.5,1497,108.5,5.0,12.22,9.9,1,0,0,1,6
404,2900,Isuzu MUX 4WD,Jaipur,2017,34429,First,13.8,2999,174.57,7.0,33.68,20.0,1,0,1,0,7
406,2915,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,First,18.9,1197,81.86,5.0,6.96,5.85,0,1,0,1,6
407,2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,First,16.3,1956,170.0,5.0,26.95,23.91,1,0,0,1,5
408,2917,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,First,20.89,1197,81.8,5.0,7.96,7.36,0,1,1,0,5
409,2920,Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,First,13.68,2393,147.8,7.0,23.06,17.65,1,0,0,1,7
411,2937,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,First,11.36,2755,171.5,8.0,20.8,18.25,1,0,1,0,7
412,2957,Nissan Micra Active XV,Ahmedabad,2016,41000,First,19.69,1198,67.04,5.0,6.78,4.25,0,1,0,1,8
413,2959,Jeep Compass 2.0 Sport,Hyderabad,2017,37000,First,17.1,1956,170.0,5.0,19.91,16.9,1,0,0,1,7
414,2970,Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,First,22.95,1248,74.0,5.0,8.93,5.0,1,0,0,1,7
417,2990,Maruti Ertiga VDI,Mumbai,2018,14000,First,25.47,1248,88.5,7.0,11.66,9.25,1,0,0,1,6
418,2994,Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,First,18.15,1198,82.0,5.0,7.35,4.5,0,1,0,1,7
420,3006,Jeep Compass 2.0 Limited,Pune,2018,16039,First,17.1,1956,170.0,5.0,23.89,18.5,1,0,0,1,6
421,3012,Maruti Swift LDI,Hyderabad,2016,52000,First,28.4,1248,74.0,5.0,7.27,5.95,1,0,0,1,8
423,3052,Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,First,25.4,1186,73.97,5.0,8.84,3.5,1,0,0,1,8
424,3059,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,First,22.69,1995,190.0,5.0,52.46,6.67,1,0,1,0,5
425,3067,Mahindra Xylo H4,Coimbatore,2016,93166,Second,14.02,2179,118.3,7.0,11.67,5.85,1,0,0,1,8
426,3075,Toyota Corolla Altis 1.8 VL CVT,Kolkata,2018,5000,First,14.28,1798,138.03,5.0,22.37,16.95,0,1,1,0,6
428,3080,Renault KWID RXL,Kochi,2017,24214,Second,25.17,799,53.3,5.0,3.95,3.46,0,1,0,1,7
430,3127,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,35981,First,24.3,1248,88.5,5.0,11.29,9.51,1,0,0,1,7
431,3132,Porsche Cayenne Base,Kochi,2019,14298,First,13.33,2995,340.0,5.0,1.36,2.02,0,1,1,0,5
433,3156,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,First,18.9,1197,81.86,5.0,7.98,6.84,0,1,1,0,5
434,3158,Audi A4 30 TFSI Premium Plus,Kochi,2017,61221,First,17.84,1395,147.51,5.0,47.16,21.73,0,1,1,0,7
435,3161,Mini Cooper 5 DOOR D,Kochi,2019,14857,First,20.7,1496,113.98,5.0,41.98,31.55,1,0,1,0,5
436,3163,Ford Endeavour Titanium 4X2,Coimbatore,2019,14648,First,12.62,2198,158.0,7.0,35.29,27.36,1,0,0,1,5
437,3168,Tata Zest Revotron 1.2T XM,Kochi,2017,48198,First,17.57,1193,88.7,5.0,7.63,4.65,0,1,0,1,7
440,3186,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2017,62788,First,18.9,1197,81.86,5.0,8.1,6.08,0,1,0,1,7
441,3190,Toyota Innova Crysta 2.8 GX AT,Pune,2018,20300,First,11.36,2755,171.5,7.0,20.97,18.0,1,0,1,0,6
443,3198,Mahindra XUV500 W7,Delhi,2018,9000,First,14.0,2179,155.0,7.0,16.4,13.0,1,0,0,1,6
446,3217,Honda City i-VTEC CVT VX,Jaipur,2017,35000,First,18.0,1497,117.3,5.0,14.67,7.7,0,1,1,0,7
447,3219,Honda City i-VTEC V,Mumbai,2017,11000,First,17.4,1497,117.3,5.0,12.57,8.5,0,1,0,1,7
450,3244,Jeep Compass 2.0 Limited Option 4X4,Kolkata,2017,15050,First,16.3,1956,170.0,5.0,23.19,17.5,1,0,0,1,7
451,3254,Ford Freestyle Titanium Plus Petrol,Kolkata,2018,8896,First,19.0,1194,94.68,5.0,8.24,7.34,0,1,0,1,6
452,3256,Honda Jazz V,Mumbai,2016,31378,First,18.2,1199,88.7,5.0,8.71,5.9,0,1,0,1,8
453,3259,Audi Q3 30 TDI Premium FWD,Mumbai,2017,31000,First,18.51,1968,147.51,5.0,44.75,27.0,1,0,1,0,7
455,3268,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,First,11.57,2987,254.79,5.0,95.13,59.65,1,0,1,0,6
456,3273,Maruti Baleno Delta CVT,Coimbatore,2018,34630,First,21.4,1197,83.1,5.0,8.57,7.29,0,1,1,0,6
457,3277,Mini Cooper 3 DOOR D,Kochi,2016,32298,First,20.7,1496,113.98,4.0,35.0,23.8,1,0,1,0,8
458,3300,Ford Aspire Ambiente Diesel,Kolkata,2018,17000,First,26.1,1498,99.0,5.0,7.56,5.65,1,0,0,1,6
459,3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,29836,First,17.9,2143,136.0,5.0,43.07,25.75,1,0,1,0,5
462,3373,Honda City i-VTEC VX,Mumbai,2017,7500,First,17.4,1497,117.3,5.0,13.76,11.15,0,1,0,1,7
463,3374,Renault Duster 110PS Diesel RxZ AMT,Jaipur,2016,68163,First,19.6,1461,108.45,5.0,14.11,8.9,1,0,1,0,8
464,3381,Maruti Vitara Brezza LDi,Kochi,2017,35384,First,24.3,1248,88.5,5.0,9.12,8.61,1,0,0,1,7
465,3383,Ford EcoSport 1.5 Diesel Titanium,Coimbatore,2018,32189,First,23.0,1498,98.96,5.0,11.2,9.25,1,0,0,1,6
467,3425,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,First,24.3,1248,88.5,5.0,12.47,10.15,1,0,0,1,6
469,3448,Honda WRV i-VTEC VX,Ahmedabad,2017,32248,First,17.5,1199,88.7,5.0,10.32,8.25,0,1,0,1,7
472,3471,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,2016,45492,First,21.5,1498,108.5,5.0,15.68,10.3,1,0,1,0,8
475,3501,Toyota Corolla Altis 1.8 G,Bangalore,2016,16471,Second,14.28,1798,138.03,5.0,20.48,11.5,0,1,0,1,8
476,3514,Honda City i-VTEC CVT VX,Pune,2018,4500,First,18.0,1497,117.3,5.0,15.17,12.5,0,1,1,0,6
477,3518,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,42646,First,19.6,1461,108.45,5.0,15.05,12.46,1,0,1,0,7
481,3544,Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,45000,First,16.3,1956,170.0,5.0,25.54,20.0,1,0,0,1,7
482,3550,Honda City i-DTEC ZX,Pune,2017,42000,First,25.6,1498,98.6,5.0,16.84,12.0,1,0,0,1,7
483,3552,Hyundai Grand i10 1.2 CRDi Sportz,Chennai,2018,48000,First,24.0,1186,73.97,5.0,8.28,5.95,1,0,0,1,6
484,3555,Toyota Innova Crysta 2.4 VX MT,Coimbatore,2019,33598,First,13.68,2393,147.8,7.0,23.94,22.2,1,0,0,1,5
485,3567,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,13414,First,17.9,2143,136.0,5.0,43.07,30.77,1,0,1,0,5
486,3569,Mahindra KUV 100 G80 K8,Jaipur,2018,15900,First,18.15,1198,82.0,6.0,7.88,6.25,0,1,0,1,6
487,3572,Audi A6 35 TDI Matrix,Coimbatore,2017,36824,First,18.53,1968,187.74,5.0,69.37,39.84,1,0,1,0,7
488,3578,Maruti Baleno Zeta CVT,Kolkata,2016,20000,First,21.4,1197,83.1,5.0,9.04,5.74,0,1,1,0,8
489,3581,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,First,21.76,1995,190.0,5.0,55.07,35.0,1,0,1,0,8
490,3582,Maruti Dzire AMT ZDI Plus,Chennai,2017,19000,First,28.4,1248,73.75,5.0,10.97,8.9,1,0,1,0,7
491,3584,Jeep Compass 2.0 Longitude,Kochi,2018,42203,First,17.1,1956,170.0,5.0,21.72,19.46,1,0,0,1,6
492,3587,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,2018,4900,First,21.5,1497,108.5,5.0,11.47,9.22,1,0,0,1,6
493,3603,Renault KWID RXT Optional,Pune,2018,5000,First,25.17,799,53.3,5.0,4.9,3.5,0,1,0,1,6
495,3648,Honda Jazz V CVT,Mumbai,2017,17978,First,19.0,1199,88.7,5.0,10.1,6.95,0,1,1,0,7
496,3651,Maruti S-Cross Alpha DDiS 200 SH,Kolkata,2016,45296,First,25.1,1248,88.5,5.0,12.53,6.99,1,0,0,1,8
497,3662,Tata Hexa XT,Pune,2017,39800,First,17.6,2179,153.86,7.0,20.87,14.25,1,0,0,1,7
498,3674,Maruti Eeco 7 Seater Standard,Coimbatore,2016,42225,First,15.1,1196,73.0,7.0,4.98,4.3,0,1,0,1,8
499,3682,Maruti Ignis 1.2 Delta,Kochi,2019,12076,First,20.89,1197,81.8,5.0,5.9,5.5,0,1,0,1,5
500,3687,Volkswagen Polo GT TSI,Coimbatore,2017,50534,First,17.21,1197,103.5,5.0,11.66,8.27,0,1,1,0,7
502,3705,Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,2019,29311,First,17.9,2143,170.0,5.0,64.57,50.97,1,0,1,0,5
503,3706,BMW 3 Series Luxury Line,Mumbai,2016,31000,First,21.76,1995,190.0,5.0,60.88,29.95,1,0,1,0,8
504,3719,Ford EcoSport 1.5 Petrol Titanium Plus AT,Pune,2017,14000,First,14.8,1497,121.36,5.0,13.23,9.99,0,1,1,0,7
505,3726,Maruti Vitara Brezza ZDi Plus Dual Tone,Ahmedabad,2017,33000,First,24.3,1248,88.5,5.0,11.06,9.25,1,0,0,1,7
507,3732,Maruti Celerio ZXI AMT,Coimbatore,2017,35225,First,23.1,998,67.04,5.0,6.56,5.25,0,1,1,0,7
509,3738,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2016,29091,First,18.9,1197,81.86,5.0,6.82,4.87,0,1,0,1,8
510,3745,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,26927,First,24.3,1248,88.5,5.0,12.56,11.39,1,0,0,1,7
511,3747,Maruti Vitara Brezza ZDi,Delhi,2016,35299,First,24.3,1248,88.5,5.0,10.14,8.0,1,0,0,1,8
513,3759,Maruti Alto K10 VXI,Mumbai,2017,12000,First,24.07,998,67.1,5.0,4.82,3.25,0,1,0,1,7
514,3774,Maruti Ciaz Zeta,Kochi,2018,10575,First,21.56,1462,103.25,5.0,11.11,9.18,0,1,0,1,6
516,3784,Toyota Innova Crysta 2.8 ZX AT,Kochi,2017,26023,First,11.36,2755,171.5,7.0,26.55,19.97,1,0,1,0,7
518,3793,Tata Zest Quadrajet 1.3 XT,Bangalore,2017,27768,First,20.65,1248,88.7,5.0,10.06,5.85,1,0,0,1,7
520,3836,Audi A6 35 TFSI Matrix,Delhi,2018,22000,First,15.26,1798,187.74,5.0,56.97,41.5,0,1,1,0,6
521,3838,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2018,28741,First,24.3,1248,88.5,5.0,12.56,11.0,1,0,0,1,6
522,3841,Hyundai Verna VTVT 1.6 SX,Kolkata,2018,5000,First,17.0,1591,121.3,5.0,11.19,8.7,0,1,0,1,6
523,3842,Maruti Ertiga ZDI Plus,Hyderabad,2016,42000,First,25.47,1248,88.5,7.0,13.33,9.9,1,0,0,1,8
527,3907,Toyota Innova Crysta 2.8 GX AT 8S,Chennai,2016,40000,First,11.36,2755,171.5,8.0,21.1,16.45,1,0,1,0,8
528,3910,Maruti Baleno Alpha Diesel,Mumbai,2018,2000,First,27.39,1248,74.0,5.0,10.28,8.7,1,0,0,1,6
529,3911,Skoda Superb Style 1.8 TSI AT,Mumbai,2016,14500,First,14.67,1798,177.46,5.0,33.36,20.75,0,1,1,0,8
530,3927,Maruti Ciaz Alpha,Mumbai,2017,19416,First,21.56,1462,103.25,5.0,11.56,8.25,0,1,0,1,7
531,3935,Toyota Innova Crysta 2.8 ZX AT,Pune,2016,50296,Second,11.36,2755,171.5,7.0,27.07,19.0,1,0,1,0,8
532,3943,Jeep Compass 2.0 Longitude,Kochi,2018,26101,First,17.1,1956,170.0,5.0,21.38,17.55,1,0,0,1,6
533,3944,Maruti Alto K10 LXI Optional,Pune,2016,7000,First,24.07,998,67.1,5.0,4.36,3.0,0,1,0,1,8
534,3953,Honda Jazz Exclusive CVT,Mumbai,2018,3000,First,19.0,1199,88.7,5.0,10.81,8.25,0,1,1,0,6
537,4026,Maruti Alto K10 VXI,Jaipur,2016,51264,First,24.07,998,67.1,5.0,4.24,3.2,0,1,0,1,8
538,4028,Mercedes-Benz CLA 200 CGI Sport,Delhi,2016,40000,First,15.04,1991,183.0,5.0,41.02,24.5,0,1,1,0,8
539,4034,Hyundai Creta 1.6 SX Automatic Diesel,Kolkata,2018,14000,First,17.6,1582,126.2,5.0,17.0,11.25,1,0,1,0,6
542,4079,Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,2017,25000,First,13.33,2993,255.0,5.0,2.3,160.0,1,0,1,0,7
543,4083,Maruti Baleno RS Petrol,Coimbatore,2018,26731,First,21.1,998,100.0,5.0,10.89,8.61,0,1,0,1,6
544,4096,Toyota Camry Hybrid 2.5,Coimbatore,2017,23249,First,19.16,2487,175.67,5.0,40.62,26.11,0,1,1,0,7
545,4099,Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,10000,First,18.9,1197,81.86,5.0,7.54,6.5,0,1,0,1,6
546,4104,Skoda Superb Style 1.8 TSI AT,Coimbatore,2016,54253,First,14.67,1798,177.46,5.0,30.19,16.81,0,1,1,0,8
548,4125,Datsun redi-GO S,Chennai,2016,26239,First,22.7,799,53.0,5.0,4.43,2.75,0,1,0,1,8
549,4131,Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,56251,First,14.24,2755,174.5,7.0,37.17,35.82,1,0,0,1,5
550,4134,Honda BR-V i-VTEC S MT,Bangalore,2016,34004,First,15.4,1497,117.3,7.0,12.9,8.02,0,1,0,1,8
551,4147,Maruti Dzire VDI,Kochi,2017,54758,First,28.4,1248,73.75,5.0,8.58,6.67,1,0,0,1,7
552,4163,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2017,53841,First,11.36,2755,171.5,7.0,28.05,20.5,1,0,1,0,7
553,4164,Hyundai Creta 1.6 SX Option,Kochi,2017,47183,Second,15.8,1591,121.3,5.0,15.86,11.31,0,1,0,1,7
554,4169,Datsun redi-GO T Option,Kochi,2018,6279,First,22.7,799,53.64,5.0,4.05,3.6,0,1,0,1,6
555,4180,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2017,101065,First,20.5,1582,126.2,5.0,19.18,11.45,1,0,0,1,7
556,4181,Maruti Baleno Delta,Kochi,2017,15134,First,21.4,1197,83.1,5.0,7.36,6.37,0,1,0,1,7
557,4188,Maruti Ertiga VDI,Chennai,2016,86000,Second,25.47,1248,88.5,7.0,10.99,8.2,1,0,0,1,8
559,4208,Volkswagen Vento 1.6 Highline,Jaipur,2016,33000,First,16.09,1598,103.5,5.0,11.63,7.7,0,1,0,1,8
562,4233,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,22060,First,18.51,1968,147.51,5.0,44.8,32.73,1,0,1,0,6
564,4237,Renault KWID RXT Optional,Mumbai,2016,16000,First,25.17,799,53.3,5.0,4.78,2.99,0,1,0,1,8
566,4265,Datsun redi-GO T Option,Coimbatore,2017,27509,First,22.7,799,53.64,5.0,4.04,3.31,0,1,0,1,7
567,4273,Skoda Superb Style 1.8 TSI AT,Mumbai,2016,53000,First,14.67,1798,177.46,5.0,33.36,17.85,0,1,1,0,8
